M,D,L0,L1,L0*L1,blk
2185,1,34,136,4624,2186
2185,5,74,296,21904,10930
2185,10,106,424,44944,21860
2185,20,148,592,87616,43720
2185,50,234,936,219024,109300
100000,1,224,896,200704,100001
100000,5,502,2008,1008016,500005
100000,10,708,2832,2005056,1000010
100000,20,1002,4008,4016016,2000020
100000,50,1582,6328,10010896,5000050
200000,1,318,1272,404496,200001
200000,5,708,2832,2005056,1000005
200000,10,1002,4008,4016016,2000010
200000,20,1416,5664,8020224,4000020
200000,50,2238,8952,20034576,10000050
